appid,name,placement,developers,publishers,currency,windows,linux,mac,release_date,genre_racing,genre_massively multiplayer,genre_sports,genre_rpg,genre_indie,genre_casual,genre_adventure,genre_early access,genre_strategy,genre_simulation,genre_action,cat_steam_trading_cards,cat_multi-player,cat_co-op,cat_vr_supported,cat_stats,cat_cross-platform_multiplayer,cat_tracked_controller_support,cat_remote_play_on_tv,cat_remote_play_together,cat_steam_leaderboards,cat_steam_cloud,cat_family_sharing,cat_steam_workshop,cat_full_controller_support,cat_shared/split_screen,cat_steam_achievements,cat_shared/split_screen_pvp,cat_shared/split_screen_co-op,cat_lan_pvp,cat_captions_available,cat_single-player,cat_mmo,cat_pvp,cat_valve_anti-cheat_enabled,cat_partial_controller_support,cat_remote_play_on_phone,cat_downloadable_content,cat_remote_play_on_tablet,cat_online_pvp,cat_online_co-op,cat_hdr_available,cat_in-app_purchases,cat_lan_co-op
3489700,Stellar Blade™,40,SHIFT UP Corporation,PlayStation Publishing LLC (excluding China),More than $60,1,0,0,2025-06-11,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
934700,Dead Island 2,41,Dambuster Studios,Deep Silver,$40-$50,1,0,0,2024-04-22,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2479810,Gray Zone Warfare,42,"MADFINGER Games, a.s.","MADFINGER Games, a.s.",$30-$40,1,0,0,2024-04-30,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
3572160,Tom Clancy's The Division 2  Battle for Brooklyn Deluxe DLC,43,Ubisoft,Ubisoft,$20-$30,1,0,0,2025-05-27,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0
2625420,Drive Beyond Horizons,44,Drive Beyond Horizons,Tacty Studio,$20-$30,1,0,0,2025-03-24,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3588070,The Division 2 Crossroads Season Bundle,45,Ubisoft,Ubisoft,$20-$30,1,0,0,2025-05-27,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0
2071280,Ravenswatch,46,Passtech Games,Nacon,$20-$30,1,0,0,2024-09-26,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1151340,Fallout 76,47,Bethesda Game Studios,Bethesda Softworks,$40-$50,1,0,0,2020-04-14,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0
2379780,Balatro,48,LocalThunk,Playstack,$10-$20,1,0,1,2024-02-20,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1817800,Oddsparks: An Automation Adventure,49,Massive Miniteam,HandyGames,$20-$30,1,0,0,2025-05-27,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
