appid,name,placement,developers,publishers,currency,windows,linux,mac,release_date,genre_racing,genre_adventure,genre_strategy,genre_simulation,genre_massively multiplayer,genre_casual,genre_rpg,genre_sports,genre_early access,genre_indie,genre_action,cat_remote_play_together,cat_multi-player,cat_co-op,cat_hdr_available,cat_steam_cloud,cat_includes_level_editor,cat_shared/split_screen_co-op,cat_remote_play_on_tablet,cat_steam_workshop,cat_full_controller_support,cat_steam_trading_cards,cat_online_pvp,cat_valve_anti-cheat_enabled,cat_lan_pvp,cat_steam_leaderboards,cat_stats,cat_shared/split_screen,cat_cross-platform_multiplayer,cat_downloadable_content,cat_pvp,cat_in-app_purchases,cat_remote_play_on_tv,cat_partial_controller_support,cat_mmo,cat_shared/split_screen_pvp,cat_single-player,cat_captions_available,cat_steam_achievements,cat_family_sharing,cat_remote_play_on_phone,cat_lan_co-op,cat_online_co-op
1295500,"Warhammer 40,000: Battlesector",38,Slitherine Ltd.,Slitherine Ltd.,$30-$40,1,0,0,2021-07-22,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0
1203620,Enshrouded,39,Keen Games GmbH,Keen Games GmbH,$10-$20,1,0,0,2024-01-24,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
270880,American Truck Simulator,40,SCS Software,SCS Software,$10-$20,1,1,1,2016-02-02,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1
2001120,Split Fiction,41,Hazelight Studios,Electronic Arts,$50-$60,1,0,0,2025-03-06,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1
990080,Hogwarts Legacy,42,Avalanche Software,Warner Bros. Games,More than $60,1,0,0,2023-02-10,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
1643320,S.T.A.L.K.E.R. 2: Heart of Chornobyl,43,GSC Game World,GSC Game World (worldwide),$50-$60,1,0,0,2024-11-20,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
2878980,NBA 2K25,44,Visual Concepts,2K,More than $60,1,0,0,2024-10-28,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1
292030,The Witcher 3: Wild Hunt,45,CD PROJEKT RED,CD PROJEKT RED,$40-$50,1,0,0,2015-05-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0
1569580,Blue Prince,46,Dogubomb,Raw Fury,$20-$30,1,0,0,2025-04-10,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
594570,Total War: WARHAMMER II,47,CREATIVE ASSEMBLY,SEGA,$50-$60,1,1,1,2017-09-28,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1
1494810,Mortal Sin,48,Nikola Todorovic,Nikola Todorovic,$10-$20,1,0,0,2023-03-15,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
2531310,The Last of Us™ Part II Remastered,49,Naughty Dog LLC,PlayStation Publishing LLC,$50-$60,1,0,0,2025-04-03,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
